year,state_abbr,state,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,violent_crime_rate,property_crime_rate,homicide_rate,robbery_rate,aggravated_assault_rate,edu_staff_total
2015,NJ,NEW JERSEY,8935421,22879,363,9729,11414,145701,27960,105963,11778,256.0483719793393,1630.6002817326682,4.062483457690465,108.88127151479488,127.73880492032777,236558.3
2015,NM,NEW MEXICO,2080328,13672,117,2485,9407,77212,17084,51485,8643,657.2040562834322,3711.530104868079,5.624113120623286,119.45231713460568,452.1883087666945,37572.54
2015,NV,NEVADA,2883758,20118,178,6287,11965,77137,22360,43426,11351,697.6313546421025,2674.877711652642,6.17250129865266,218.01413294735548,414.9099889796578,26429.51
2015,NY,NEW YORK,19747183,75126,613,23879,44493,317225,44117,257837,15271,380.4390732592087,1606.4316616704266,3.104240235176835,120.9235767957384,225.31314972874867,372692.5
2015,OH,OHIO,11605090,34373,522,12617,15793,303743,69994,216354,17395,296.1889998268001,2617.3256734760357,4.498026297081712,108.7195359967049,136.08683775825952,322611.2
2015,OK,OKLAHOMA,3907414,16746,240,3018,11535,114055,28783,74678,10594,428.5698930289957,2918.938203118482,6.14216973169467,77.23778437606049,295.2080327295751,85914.69
2015,OR,OREGON,4024634,10680,110,2163,6757,119752,18541,90514,10697,265.36574505905384,2975.475533924327,2.7331677861887567,53.744017468420736,167.891043011613,65927.7
2015,PA,PENNSYLVANIA,12791904,40348,665,12965,22419,231941,39573,180236,12132,315.4182520444181,1813.185902583384,5.198600614888917,101.35316837899973,175.25928900029268,241547.6
2015,RI,RHODE ISLAND,1055607,2565,31,547,1520,20038,3938,14714,1386,242.98815752453328,1898.244327671188,2.936698979828668,51.81852716020261,143.99298223676044,19482.81
2015,SC,SOUTH CAROLINA,4894834,24448,407,3950,17652,162830,34942,114778,13110,499.4653546984433,3326.5683780083245,8.31488871737019,80.69732293270823,360.62509985016857,78107.8
2015,SD,SOUTH DAKOTA,857919,3302,33,215,2554,16739,2969,12576,1194,384.8848201287068,1951.1165972545195,3.846516978875629,25.060640922977576,297.6971019408592,19543.17
2015,TN,TENNESSEE,6595056,40816,418,7499,30098,196047,43753,139259,13035,618.8878456831906,2972.6358654119085,6.338081132290612,113.70638854317538,456.37216727196864,128468.5
2015,TX,TEXAS,27429639,113193,1317,31924,67629,779234,153067,558653,67514,412.6667507363112,2840.846720585714,4.8013756214582335,116.38505340883268,246.55446613788828,690077.3
2015,UT,UTAH,2990632,7138,57,1329,4048,89797,12606,68464,8727,238.67864718895532,3002.609481875403,1.905951651691013,44.43876745784838,135.35600501833727,56145.98
2015,VA,VIRGINIA,8367587,16705,390,4459,9357,157803,21542,128064,8197,199.639394248306,1885.884186205653,4.66084188906551,53.288958931649,111.82435270765636,178550.5
2015,VT,VERMONT,626088,747,10,105,482,9064,2034,6834,196,119.31230114616476,1447.7198093558732,1.5972195601896215,16.770805381991032,76.98598280113977,18183.12
2015,WA,WASHINGTON,7160290,20505,218,5450,12059,249474,51114,171393,26967,286.3710827354758,3484.1326259131965,3.044569423864117,76.11423559660294,168.41496643292382,94882.75
2015,WI,WISCONSIN,5767891,17549,240,5234,10270,114171,19602,83572,10997,304.25332240155024,1979.4236749619572,4.160966287331019,90.74373978287731,178.05468237870653,101249.6
2015,WV,WEST VIRGINIA,1841053,6397,85,783,4819,38694,9467,26984,2243,347.464195761882,2101.7319979381364,4.616923032634042,42.53000864179359,261.75237757956995,38452.22
2015,WY,WYOMING,586555,1300,16,59,1054,11151,1762,8797,592,221.63309493568377,1901.1004935598537,2.7277919376699544,10.058732770157956,179.69329389400824,17268.52
2017,AK,ALASKA,739786,6338,62,952,4250,26203,4167,17782,4254,856.7342447680817,3541.97024544936,8.380802015718059,128.6858632090902,574.490460754867,0.0
2017,AL,ALABAMA,4875120,25469,419,4233,18816,143774,31270,99707,12797,522.4281658707888,2949.137662252416,8.594660234004497,86.82863191059913,385.9597302220253,0.0
2017,AR,ARKANSAS,3002997,16996,249,1998,12609,94419,22369,64795,7255,565.9679313698948,3144.158985173812,8.291716575141434,66.53353300053247,419.8805393411982,0.0
2017,AZ,ARIZONA,7048876,35647,422,7440,24163,204999,37722,148251,19026,505.7118326382816,2908.250904115777,5.986770089302181,105.54874280665456,342.7922409189777,0.0
2017,CA,CALIFORNIA,39399349,178597,1830,56625,105418,987063,176679,642019,168365,453.2993679667144,2505.2774349139627,4.644746795181819,143.72064878533905,267.56279653250107,0.0
2017,CO,COLORADO,5615902,20901,222,3868,12790,152032,22618,107470,21944,372.1752979307688,2707.16974762024,3.953060434459149,68.8758457679639,227.74613944474103,0.0
2017,CT,CONNECTICUT,3573880,8190,105,2813,4422,63646,8906,47418,7322,229.1627027208524,1780.8656138426586,2.9379833682160568,78.7099734742073,123.7310709928705,0.0
2017,DC,DISTRICT OF COLUMBIA,695691,6976,116,2625,3791,29736,1809,25340,2587,1002.7440343485828,4274.311439992755,16.67406937850281,377.3226906773265,544.9258363267601,0.0
2017,DE,DELAWARE,957078,4377,51,1082,2893,23430,3960,18108,1362,457.329496655445,2448.076332336549,5.328719289336919,113.0524366875009,302.2742138049354,0.0
2017,FL,FLORIDA,20976812,85606,1057,18597,58016,527125,88835,395375,42915,408.0982372345236,2512.8937609775976,5.038897235671464,88.65503490234836,276.5720548956629,0.0
2017,GA,GEORGIA,10413055,37118,681,9844,23947,297651,55363,216252,26036,356.45639055973487,2858.440678552068,6.539867502860592,94.53517723665148,229.97093552276448,0.0
2017,HI,HAWAII,1424203,3577,39,1077,1894,40392,5549,29574,5269,251.15801609742437,2836.1125485622483,2.738373672854221,75.62124219651271,132.98665990733062,0.0
2017,IA,IOWA,3143637,9038,98,1269,6366,65652,14711,45441,5500,287.50138772383707,2088.40906249672,3.1174082758282844,40.3672561431234,202.50429677472303,0.0
2017,ID,IDAHO,1718904,4111,42,222,3092,28557,5837,20570,2150,239.16402544877437,1661.3493249186693,2.443417433434328,12.915206433867162,179.88206438521289,0.0
