year,state_abbr,state,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,violent_crime_rate,property_crime_rate,homicide_rate,robbery_rate,aggravated_assault_rate
2015,AK,Alaska,737709,5391,59,761,3671,20806,3511,15249,2046,730.7759563730415,2820.3532829340566,7.99773352365228,103.15720697456587,497.6216909377546
2015,AL,Alabama,4853875,22957,348,4612,15960,144785,35265,99182,10338,472.96232391645856,2982.8745074811363,7.169529499626587,95.01686796631557,328.80945636218485
2015,AR,Arkansas,2977853,15769,189,2117,11455,97391,22851,68720,5820,529.542593271058,3270.5106665775647,6.3468545962477,71.09148772622423,384.6731185186106
2015,AZ,Arizona,6817565,27968,306,6360,18193,207184,38010,152388,16786,410.2344458762036,3038.9735924776664,4.488406051134093,93.28843949415958,266.8548081316423
2015,CA,California,38993940,166883,1861,52862,99349,1024914,197404,656517,170993,427.9716284120045,2628.39302722423,4.772536450535648,135.56465440527427,254.7806146288372
2015,CO,Colorado,5448819,17348,173,3315,10532,144044,23490,104532,16022,318.3809188743469,2643.5820312621872,3.174999940354047,60.83887168944316,193.2895917445597
2015,CT,Connecticut,3584730,7938,116,2925,4099,65610,10286,48898,6426,221.43927157693886,1830.2633671155152,3.2359480351379326,81.59610347222804,114.346129276124
2015,DC,District of Columbia,670377,8538,162,3746,4136,31444,2971,25208,3265,1273.6117140057013,4690.495049800336,24.16550687150663,558.7900539547151,616.9662742009347
2015,DE,Delaware,944076,4760,62,1240,3097,25545,4797,19555,1193,504.19669602870954,2705.8202941288623,6.567267889449579,131.34535778899155,328.0456234455701
2015,FL,Florida,20244914,93625,1041,21137,63895,570270,109268,420341,40661,462.46183115423463,2816.8556309994697,5.142032216091409,104.40646969406735,315.6101329943906
2015,GA,Georgia,10199398,38891,622,12545,22467,316013,68149,220715,27149,381.3068183043744,3098.3495300408904,6.098399140812036,122.99745534001124,220.27770658621225
2015,HI,Hawaii,1431603,4201,19,1085,1878,45389,6810,33140,5439,293.4472755365838,3170.5018779647708,1.327183583716994,75.78916780699677,131.18161948529027
2015,IA,Iowa,3121997,8619,73,1050,6291,64688,14977,45328,4383,276.07329539394175,2072.007115958151,2.3382469618004116,33.632319313567564,201.50563885871767
2015,ID,Idaho,1652828,3593,32,191,2667,28912,6124,20916,1872,217.38499105775074,1749.2443254833534,1.9360756231138387,11.555951375460726,161.35980271389403
2015,IL,Illinois,12839047,49755,754,15056,29019,256962,46846,192424,17692,387.52876284353505,2001.4102292794785,5.87271002279219,117.26727069384512,226.0214484766665
2015,IN,Indiana,6612768,25373,370,7081,15536,171878,34404,123940,13534,383.6971144307497,2599.1838818479646,5.595236366979758,107.08072625563152,234.93943837134464
2015,KS,Kansas,2906721,11483,126,1823,7850,80059,15619,57435,7005,395.04995491483356,2754.271909825539,4.33478135672464,62.716717565944585,270.06375912927314
2015,KY,Kentucky,4424611,9887,219,3314,4710,97545,22526,67143,7876,223.45467206043648,2204.6005852265885,4.94958765866649,74.8992397297751,106.4500359466629
2015,LA,Louisiana,4668960,25202,492,5561,17416,157708,35457,112520,9731,539.7775950104519,3377.797196806141,10.537678626503546,119.10575374387444,373.0166889414345
2015,MA,Massachusetts,6784240,26453,131,5266,18974,114547,21826,84676,8045,389.91839911323893,1688.4278858059265,1.930945839180218,77.62107472612998,279.67760574507975
2015,MD,Maryland,5994983,28185,538,10111,15819,142547,26432,102701,13414,470.14311800383757,2377.7715466415834,8.97417056895741,168.6576926073018,263.87063983334065
2015,ME,Maine,1329453,1726,23,311,931,24361,4694,18853,814,129.8278314464671,1832.4077646972103,1.7300348338752856,23.393079710226687,70.02880131903873
2015,MI,Michigan,9917715,41712,585,7818,26599,191191,40375,132019,18797,420.58074869060056,1927.7726774766163,5.898536104334517,78.82864147638846,268.19685784477576
2015,MN,Minnesota,5482435,13319,133,3771,7094,121984,19299,94704,7981,242.93949677469953,2224.996739587428,2.4259293543835905,68.78330522842496,129.3950589473473
2015,MO,Missouri,6076204,30292,503,6383,20833,173788,34029,122749,17010,498.5349405648658,2860.1409695921993,8.278194741322048,105.04913923232333,342.86208955459693
2015,MS,Mississippi,2989390,8190,253,2312,4467,85785,25068,56446,4271,273.96893680650567,2869.648991934809,8.463265080835889,77.34019314977303,149.4284787197388
2015,MT,Montana,1032073,3647,38,210,2827,27276,3887,20966,2423,353.3664769837017,2642.836310997381,3.681910097444657,20.347397906931,273.9147327756855
2015,NC,North Carolina,10035186,34734,517,8821,22805,275915,74760,187732,13423,346.1221346569959,2749.4756948202057,5.151872620995764,87.90071255281168,227.25039675398142
2015,ND,North Dakota,756835,1949,21,159,1378,17716,3296,12686,1734,257.51980286323965,2340.8008350565183,2.7747131144833417,21.008542152516732,182.07403198847834
2015,NE,Nebraska,1893765,5167,62,994,3226,42597,6443,32148,4006,272.8427233579668,2249.3287181883707,3.2739014608465147,52.488033098087676,170.3484856885622
2015,NH,New Hampshire,1330111,2692,15,475,1558,23453,3482,19076,895,202.3891239152221,1763.2363013312422,1.1277254304340014,35.711305297076706,117.1330813744116
2015,NJ,New Jersey,8935421,22879,363,9729,11414,145701,27960,105963,11778,256.0483719793393,1630.6002817326682,4.062483457690465,108.88127151479489,127.73880492032777
2015,NM,New Mexico,2080328,13672,117,2485,9407,77212,17084,51485,8643,657.2040562834322,3711.5301048680785,5.624113120623286,119.45231713460569,452.1883087666945
2015,NV,Nevada,2883758,20118,178,6287,11965,77137,22360,43426,11351,697.6313546421025,2674.877711652642,6.17250129865266,218.01413294735548,414.90998897965784
